component	mask	singular_value	variance_explained	cumulative_variance_explained	retained
a_comp_cor_00	CSF	248.5601298844	0.0790052918	0.0790052918	True
a_comp_cor_01	CSF	223.7384150880	0.0640139110	0.1430192028	True
a_comp_cor_02	CSF	201.5419125466	0.0519426375	0.1949618402	True
a_comp_cor_03	CSF	170.2101465462	0.0370479463	0.2320097865	True
a_comp_cor_04	CSF	145.0896854724	0.0269194589	0.2589292454	True
a_comp_cor_05	CSF	143.5648918561	0.0263566217	0.2852858671	True
a_comp_cor_06	CSF	122.0515983964	0.0190493512	0.3043352183	True
a_comp_cor_07	CSF	118.7148859349	0.0180220258	0.3223572441	True
a_comp_cor_08	CSF	110.3358244832	0.0155677675	0.3379250116	True
a_comp_cor_09	CSF	102.9856091675	0.0135627055	0.3514877170	True
a_comp_cor_10	CSF	98.3940777067	0.0123802999	0.3638680170	True
a_comp_cor_11	CSF	91.7730904708	0.0107702048	0.3746382217	True
a_comp_cor_12	CSF	89.5999336768	0.0102661741	0.3849043958	True
a_comp_cor_13	CSF	88.6926714563	0.0100593222	0.3949637180	True
a_comp_cor_14	CSF	82.5463793143	0.0087134332	0.4036771512	True
a_comp_cor_15	CSF	78.1323798788	0.0078064818	0.4114836330	True
a_comp_cor_16	CSF	76.9327559731	0.0075686048	0.4190522378	True
a_comp_cor_17	CSF	74.1876941530	0.0070381253	0.4260903631	True
a_comp_cor_18	CSF	72.5909637447	0.0067384246	0.4328287876	True
a_comp_cor_19	CSF	71.7010958523	0.0065742291	0.4394030167	True
a_comp_cor_20	CSF	68.3924037585	0.0059814845	0.4453845012	True
a_comp_cor_21	CSF	66.7841364192	0.0057034794	0.4510879806	True
a_comp_cor_22	CSF	66.1310154983	0.0055924696	0.4566804502	True
a_comp_cor_23	CSF	64.7959404483	0.0053689436	0.4620493938	True
a_comp_cor_24	CSF	63.4350597524	0.0051457888	0.4671951826	True
a_comp_cor_25	CSF	62.3891624415	0.0049775033	0.4721726859	True
a_comp_cor_26	CSF	61.2907335198	0.0048037775	0.4769764634	True
a_comp_cor_27	CSF	60.3797697148	0.0046620417	0.4816385051	True
a_comp_cor_28	CSF	59.1032824800	0.0044670051	0.4861055102	True
a_comp_cor_29	CSF	58.9260280437	0.0044402516	0.4905457618	True
a_comp_cor_30	CSF	57.4182950095	0.0042159343	0.4947616961	True
a_comp_cor_31	CSF	56.8598199728	0.0041343211	0.4988960172	True
a_comp_cor_32	CSF	56.0312879569	0.0040147126	0.5029107298	True
dropped0	CSF	55.4124475849	0.0039265209	0.5068372507	False
dropped1	CSF	54.7201984650	0.0038290283	0.5106662790	False
dropped2	CSF	54.4676798880	0.0037937700	0.5144600490	False
dropped3	CSF	54.3342928461	0.0037752115	0.5182352605	False
dropped4	CSF	53.6896113736	0.0036861565	0.5219214170	False
dropped5	CSF	53.3488023911	0.0036395073	0.5255609243	False
dropped6	CSF	52.9621534194	0.0035869433	0.5291478676	False
dropped7	CSF	52.4745165789	0.0035211955	0.5326690631	False
dropped8	CSF	52.2374952647	0.0034894577	0.5361585208	False
dropped9	CSF	52.0115956635	0.0034593428	0.5396178636	False
dropped10	CSF	51.5605432999	0.0033996031	0.5430174667	False
dropped11	CSF	51.2949133993	0.0033646651	0.5463821319	False
dropped12	CSF	51.0502622964	0.0033326461	0.5497147780	False
dropped13	CSF	50.6944906037	0.0032863573	0.5530011353	False
dropped14	CSF	50.5230516640	0.0032641672	0.5562653025	False
dropped15	CSF	50.0803783952	0.0032072178	0.5594725202	False
dropped16	CSF	49.8864533928	0.0031824274	0.5626549477	False
dropped17	CSF	49.7125920559	0.0031602836	0.5658152313	False
dropped18	CSF	49.4211175688	0.0031233336	0.5689385649	False
dropped19	CSF	49.2980443669	0.0031077969	0.5720463618	False
dropped20	CSF	48.9191725342	0.0030602116	0.5751065733	False
dropped21	CSF	48.6428293621	0.0030257351	0.5781323084	False
dropped22	CSF	48.5360309664	0.0030124633	0.5811447717	False
dropped23	CSF	48.3571235245	0.0029902959	0.5841350676	False
dropped24	CSF	48.1142823783	0.0029603378	0.5870954055	False
dropped25	CSF	47.9949002152	0.0029456655	0.5900410710	False
dropped26	CSF	47.7738963891	0.0029186000	0.5929596710	False
dropped27	CSF	47.6255809264	0.0029005063	0.5958601773	False
dropped28	CSF	47.4618469001	0.0028805971	0.5987407744	False
dropped29	CSF	47.2987406189	0.0028608323	0.6016016067	False
dropped30	CSF	47.0822777003	0.0028347070	0.6044363137	False
dropped31	CSF	47.0035235623	0.0028252317	0.6072615454	False
dropped32	CSF	46.9091449577	0.0028138975	0.6100754430	False
dropped33	CSF	46.7625725045	0.0027963404	0.6128717834	False
dropped34	CSF	46.6633904952	0.0027844911	0.6156562744	False
dropped35	CSF	46.3062258708	0.0027420288	0.6183983033	False
dropped36	CSF	46.2201661560	0.0027318462	0.6211301495	False
dropped37	CSF	45.9097213073	0.0026952718	0.6238254213	False
dropped38	CSF	45.7918917521	0.0026814544	0.6265068757	False
dropped39	CSF	45.7742182445	0.0026793850	0.6291862607	False
dropped40	CSF	45.5054569378	0.0026480136	0.6318342742	False
dropped41	CSF	45.4329386593	0.0026395805	0.6344738547	False
dropped42	CSF	45.3393551156	0.0026287175	0.6371025722	False
dropped43	CSF	44.9943481702	0.0025888636	0.6396914359	False
dropped44	CSF	44.8909643901	0.0025769804	0.6422684163	False
dropped45	CSF	44.8357521857	0.0025706454	0.6448390617	False
dropped46	CSF	44.6944708227	0.0025544702	0.6473935319	False
dropped47	CSF	44.5877169141	0.0025422820	0.6499358139	False
dropped48	CSF	44.3095075123	0.0025106553	0.6524464692	False
dropped49	CSF	44.2216812589	0.0025007124	0.6549471816	False
dropped50	CSF	44.0779256461	0.0024844802	0.6574316618	False
dropped51	CSF	44.0066612350	0.0024764530	0.6599081148	False
dropped52	CSF	43.8457596197	0.0024583768	0.6623664915	False
dropped53	CSF	43.8376313770	0.0024574654	0.6648239569	False
dropped54	CSF	43.6757149311	0.0024393454	0.6672633023	False
dropped55	CSF	43.6122897189	0.0024322657	0.6696955680	False
dropped56	CSF	43.4122242461	0.0024100016	0.6721055696	False
dropped57	CSF	43.2481390712	0.0023918178	0.6744973874	False
dropped58	CSF	43.0824182630	0.0023735227	0.6768709101	False
dropped59	CSF	42.9389379867	0.0023577396	0.6792286497	False
dropped60	CSF	42.7816399233	0.0023404971	0.6815691468	False
dropped61	CSF	42.7098339193	0.0023326469	0.6839017938	False
dropped62	CSF	42.5127594081	0.0023111697	0.6862129635	False
dropped63	CSF	42.4726832139	0.0023068143	0.6885197778	False
dropped64	CSF	42.3480232006	0.0022932929	0.6908130708	False
dropped65	CSF	42.2345793866	0.0022810226	0.6930940934	False
dropped66	CSF	42.0802925893	0.0022643875	0.6953584809	False
dropped67	CSF	41.9415015287	0.0022494751	0.6976079560	False
dropped68	CSF	41.8774762182	0.0022426126	0.6998505686	False
dropped69	CSF	41.6448635819	0.0022177681	0.7020683367	False
dropped70	CSF	41.5310570660	0.0022056633	0.7042740000	False
dropped71	CSF	41.4586529611	0.0021979794	0.7064719794	False
dropped72	CSF	41.4125986179	0.0021930989	0.7086650783	False
dropped73	CSF	41.2048489285	0.0021711504	0.7108362286	False
dropped74	CSF	41.1029284417	0.0021604229	0.7129966515	False
dropped75	CSF	41.0518647198	0.0021550583	0.7151517099	False
dropped76	CSF	40.9739055085	0.0021468810	0.7172985908	False
dropped77	CSF	40.7542997647	0.0021239296	0.7194225204	False
dropped78	CSF	40.6941369332	0.0021176634	0.7215401838	False
dropped79	CSF	40.5017365463	0.0020976863	0.7236378701	False
dropped80	CSF	40.3447486520	0.0020814562	0.7257193263	False
dropped81	CSF	40.2011928911	0.0020666700	0.7277859963	False
dropped82	CSF	40.1229235326	0.0020586304	0.7298446267	False
dropped83	CSF	40.0265559742	0.0020487534	0.7318933801	False
dropped84	CSF	39.9428997701	0.0020401985	0.7339335787	False
dropped85	CSF	39.8145082964	0.0020271037	0.7359606823	False
dropped86	CSF	39.6169851180	0.0020070403	0.7379677226	False
dropped87	CSF	39.5201133696	0.0019972370	0.7399649597	False
dropped88	CSF	39.3879716825	0.0019839032	0.7419488629	False
dropped89	CSF	39.3278343281	0.0019778498	0.7439267127	False
dropped90	CSF	39.2864120798	0.0019736856	0.7459003983	False
dropped91	CSF	39.1543724045	0.0019604410	0.7478608393	False
dropped92	CSF	39.0980378987	0.0019548038	0.7498156431	False
dropped93	CSF	39.0614033180	0.0019511422	0.7517667854	False
dropped94	CSF	38.8218129678	0.0019272803	0.7536940656	False
dropped95	CSF	38.7320871511	0.0019183818	0.7556124474	False
dropped96	CSF	38.6197391117	0.0019072689	0.7575197163	False
dropped97	CSF	38.4317822886	0.0018887492	0.7594084655	False
dropped98	CSF	38.3572777036	0.0018814332	0.7612898987	False
dropped99	CSF	38.2940267836	0.0018752334	0.7631651321	False
dropped100	CSF	38.1523993865	0.0018613882	0.7650265203	False
dropped101	CSF	38.0509157420	0.0018514990	0.7668780192	False
dropped102	CSF	38.0268025108	0.0018491531	0.7687271723	False
dropped103	CSF	37.9107953948	0.0018378880	0.7705650603	False
dropped104	CSF	37.7920646839	0.0018263941	0.7723914544	False
