edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23
0.0035189878	-0.0100467508	0.0579290474	-0.0098970784	0.0158116436	-0.0211664510	0.0160843491	-0.0486929345	0.0059431610	-0.0026688618	0.0299030709	-0.0449183779	0.0188134345	-0.0013666452	0.0570615428	-0.0220573820	0.0147763584	-0.0041707417	-0.0175839179	0.0179083400	0.0065690725	-0.0291504115	0.0628013689	-0.0021388950
0.0023969428	-0.0090926415	0.0598756584	0.0171137185	0.0082010409	-0.0266500596	0.0196428623	-0.0480834027	-0.0014631102	-0.0325860026	0.0302732291	-0.0360764027	-0.0195465765	-0.0031615201	-0.0095818042	0.0008980226	0.0228766006	0.0084593387	-0.0443837135	0.0230344022	-0.0141998296	-0.0323736564	0.0607703243	-0.0034986434
0.0029658829	-0.0114264550	0.0654268923	0.0050925453	0.0021987964	-0.0186423767	0.0107646003	-0.0469623284	-0.0075290380	-0.0286095253	0.0424402351	-0.0206416880	-0.0069556164	-0.0025676756	0.0094531252	-0.0029198405	-0.0159184626	0.0157865147	-0.0360257255	0.0048002269	-0.0229926573	-0.0321387543	0.0565831865	-0.0049548908
0.0042210654	-0.0096361544	0.0746111495	-0.0010840246	0.0040813947	-0.0130161946	0.0093326436	-0.0330056109	-0.0007509343	-0.0259759261	0.0385424589	-0.0061048108	0.0208322465	0.0034919059	0.0599324655	-0.0294447136	-0.0011942102	-0.0006404500	-0.0034467526	0.0098216216	-0.0063187836	-0.0210692613	0.0586632680	-0.0072775964
0.0097152626	0.0010575749	0.0686789287	0.0199103501	0.0020804230	-0.0239399855	0.0093223380	-0.0225014122	-0.0023093001	-0.0426389684	0.0102417165	0.0079714404	0.0129050096	0.0190654742	0.0199917116	-0.0021062943	-0.0062211735	-0.0061585048	-0.0111639143	0.0264579243	-0.0178579024	-0.0155436692	0.0538824410	-0.0046323323
0.0121151510	-0.0001212667	0.0681861272	0.0171978968	0.0020038688	-0.0205709557	0.0152404634	-0.0200115466	-0.0088486121	-0.0294103224	-0.0123221451	-0.0148246612	0.0319191534	0.0185444150	0.0579550105	0.0013265120	-0.0005546831	-0.0192149349	-0.0031032339	0.0131741753	-0.0157707548	-0.0077446895	0.0581220097	0.0026448859
0.0094050953	-0.0084867907	0.0561601150	0.0175232955	0.0002936751	-0.0224092843	0.0151815279	-0.0313282979	-0.0119680968	-0.0354921448	-0.0076211151	-0.0268361638	0.0217906717	0.0076731582	0.0132880781	0.0329537958	-0.0019430078	0.0013828873	-0.0308543162	-0.0075567091	-0.0298477615	-0.0185013095	0.0509437686	0.0038962346
0.0076593974	-0.0150444235	0.0497717617	0.0169283075	-0.0023878260	-0.0260195885	0.0183911689	-0.0241584834	-0.0077890687	-0.0240836864	0.0186095171	-0.0344865057	0.0156861013	0.0044410417	-0.0003253420	0.0284997883	0.0036769774	-0.0058249725	-0.0267635171	-0.0078627877	-0.0257521073	-0.0259867464	0.0560132758	-0.0050697943
0.0090392451	-0.0087671666	0.0396835425	0.0299863881	-0.0031187137	-0.0338562829	0.0231792060	-0.0249306563	-0.0157314553	-0.0174397278	0.0354698326	-0.0150647546	0.0004371420	0.0209579527	-0.0065702099	0.0208955906	-0.0050934923	-0.0084232901	-0.0398124630	-0.0129789824	-0.0228458374	-0.0240127075	0.0537144495	-0.0153436811
0.0146691286	-0.0071846970	0.0375030145	0.0139419872	-0.0092549046	-0.0120102030	0.0559986300	-0.0003224546	-0.0083792858	-0.0144562620	0.0197527099	0.0073896665	0.0280220067	0.0212976022	0.0633648641	-0.0011522634	0.0080422977	-0.0047353639	-0.0011391750	0.0016991578	0.0015001937	-0.0195587187	0.0304156466	-0.0067988412
0.0070401785	-0.0084005414	0.0306302505	0.0127412573	-0.0185516577	0.0095901272	0.0592739039	-0.0059369642	-0.0084797530	-0.0500607826	0.0040575313	0.0069028852	-0.0079125912	0.0158915169	0.0071466611	0.0279996416	-0.0052178289	-0.0099930565	-0.0157326472	-0.0227002763	0.0011132827	-0.0186829021	0.0188913970	-0.0025498894
0.0013719230	-0.0104671523	0.0274973434	-0.0020196638	-0.0226805802	0.0268516797	0.0710665466	0.0187092710	0.0142891393	-0.0380285443	0.0032833855	-0.0290017555	0.0188260545	-0.0105440768	0.0208150128	0.0068330864	0.0000645417	0.0201863020	0.0049029520	-0.0520779577	0.0291548472	-0.0326802016	-0.0102558578	0.0211957996
0.0050170062	0.0000709922	0.0197886263	0.0081257643	-0.0101404377	0.0082767084	0.0609140262	0.0185956936	0.0115575576	-0.0015906445	0.0184203654	-0.0361580579	0.0053329150	0.0106091652	-0.0065415402	0.0047791378	0.0109209918	0.0208031238	-0.0039451947	-0.0095423778	0.0354698671	-0.0226698134	-0.0164875670	0.0126724115
0.0038414233	0.0004110218	0.0165281696	0.0113198968	-0.0012339053	-0.0010701051	0.0469435330	0.0029277071	0.0041261208	-0.0013082487	0.0293331127	-0.0028640291	0.0013388535	0.0156047233	-0.0138869915	0.0129015192	0.0002967238	0.0009651574	0.0038180638	-0.0249171679	0.0257065578	-0.0055757629	-0.0124334616	0.0035486139
0.0060983125	0.0005086163	0.0165125065	0.0013048940	0.0055219737	-0.0089561985	0.0441033453	-0.0059657357	0.0073788570	-0.0020149071	0.0135092355	0.0196267927	0.0277581066	0.0182178247	0.0416684971	0.0032874646	0.0083923264	0.0006823532	0.0141621304	-0.0041713637	0.0184100061	-0.0062327409	-0.0144111743	0.0085670900
-0.0023879537	-0.0100951372	0.0157694629	-0.0091295602	0.0114646682	-0.0075702430	0.0235037304	-0.0209523632	0.0174433385	-0.0296617830	-0.0027656545	0.0129069074	0.0165853752	-0.0079821991	0.0099170822	0.0243767332	0.0025582654	-0.0022297470	-0.0011136202	-0.0167721900	0.0056608899	-0.0090195415	-0.0061450127	0.0106423628
0.0048424721	-0.0025691103	0.0095605324	0.0006465259	0.0170419605	-0.0266072106	0.0257540066	0.0007104126	0.0348779550	-0.0160087919	-0.0123091428	-0.0195029389	0.0123205653	-0.0127670600	-0.0082533561	0.0057962252	-0.0033043896	0.0015378877	-0.0062892010	-0.0262378302	0.0121701238	-0.0092553415	-0.0015680787	-0.0006615088
