global_signal	csf	white_matter	csf_wm	tcompcor
11353.856270678863	14737.506854669517	11374.948778621907	11824.272815783474	8997.503626331856
11306.614476976947	14533.284269445083	11369.334938486605	11796.379657412288	8374.571336972616
11284.429009947315	14418.531349435792	11371.739067792732	11792.911673531577	8320.977779444253
11279.67332101305	14341.843922022359	11374.11044387663	11794.376800463502	8414.025806073445
11286.547323569834	14298.074322088296	11389.28209350339	11793.329601120386	8144.124780397493
11306.510843866885	14270.845805838895	11388.7248071322	11787.841492876934	8173.372613410639
11327.070553404315	14287.953372887028	11395.160156908505	11796.54811537099	8379.98448414376
11331.018292940975	14346.013591951727	11394.771102977298	11797.784608052425	8477.226998523
11341.606161525118	14354.972333122701	11404.647625357897	11804.254639761262	8436.118051159867
11344.23598061042	14337.260790890745	11403.265703485531	11808.36848178096	8510.239021388108
11346.347151867154	14295.642863788264	11406.13970025359	11805.540182007837	8491.658419560998
11354.372825513708	14349.673691537375	11406.436126976501	11821.34349275728	8616.420327337002
11354.100356861562	14361.03358369715	11413.150898620235	11817.872542429592	8523.27140274668
11364.630506527663	14387.387530470749	11416.88412510569	11816.286671411686	8483.213722719991
11371.117803812209	14332.617482841471	11406.445694720833	11808.073263533612	8629.550215483874
11381.11202431189	14374.372007657805	11408.279400424868	11815.114477338851	8686.774674144217
11374.051752130466	14405.67037768742	11403.652919159656	11809.203982289264	8702.257265515831
11374.287309092675	14376.428476787285	11405.224205094259	11808.04612411742	8648.47766051874
11377.379013682013	14423.952708837016	11404.97348641867	11806.305828854478	8669.280134385583
11378.368800225324	14365.968888616928	11400.19640771682	11800.613895105269	8746.185328252528
11381.833361845644	14414.577330138067	11407.049339330446	11814.166803664535	8814.461929860929
11378.192214108964	14364.563001861963	11408.204277794826	11807.753326283522	8646.78346464731
11380.855752316944	14383.181623453984	11402.749349068084	11806.501531620273	8656.615560950302
11380.643076793682	14417.131981891134	11409.80168550045	11813.024013609456	8728.559841745267
11384.289089592105	14393.131255557166	11412.682825810027	11815.231020892927	8777.817630550726
11379.645397233313	14374.241746673193	11407.86035596625	11813.767277188997	8761.575121477948
11380.305692563585	14390.920371755614	11415.58136369084	11810.03449708209	8676.05274411566
11382.961556091183	14434.08153360274	11412.982193785427	11814.12846943496	8711.127283521202
11392.382220231922	14406.548673117557	11411.105846855178	11821.329017090786	8858.83576082059
11380.872004034485	14380.608669427349	11410.829240918561	11819.310909435017	8767.30509286896
11384.719163654781	14363.816019902144	11406.242040571135	11806.830627706393	8691.409609883007
11393.329696291064	14409.776728091032	11415.201093471782	11812.444458684999	8737.161814508205
11402.308672212946	14397.017822265625	11414.231804897234	11816.404270759138	8888.497402606747
11396.782300098808	14401.349965400403	11416.71996683441	11819.429099171735	8937.317873785747
11388.776564780947	14298.339980571776	11402.678930178416	11798.565948324393	8974.54268724395
11403.1528411022	14408.051549731008	11405.714239448449	11811.622869775885	8840.080623384802
11411.329186572597	14418.724864286534	11415.961370672636	11826.616387506643	9155.301413807443
11390.81972745879	14313.635828784054	11398.857467641077	11802.360887070181	9110.017372354647
11411.193838969784	14361.097406333669	11412.42267668834	11809.895999950772	8782.313726111932
11409.531611617478	14381.03750064001	11406.996290560599	11807.850120798379	8944.960507574315
11420.272697125227	14423.393784935211	11418.424227878522	11822.964586566166	9000.89093751985
11407.944761041686	14308.990584039322	11415.562418016163	11811.233139575419	8879.420988327895
11402.853582450522	14410.083676545517	11415.398783132665	11817.343403810242	8840.539394521325
11398.723816705866	14419.528900926985	11418.928728840598	11822.942690579257	8879.389403738627
11393.145594686352	14359.340164847996	11419.20147956133	11822.793351036767	8800.934556988972
11388.099014230547	14329.755579331342	11415.718660196419	11814.617529155548	8735.331259341356
11383.614846721783	14440.647885081104	11411.56226520191	11817.654858675201	8774.966892248634
11369.724082906097	14403.11823883447	11415.647694953615	11831.884105220488	8769.244058345392
11361.561414413678	14336.583891339315	11421.548323093037	11831.684287925533	8709.206718308364
11350.515890053253	14349.63494014496	11410.261952189923	11816.679203576301	8566.113134864869
11351.909951450998	14404.033078713186	11411.856700400765	11818.555748916971	8666.253246152304
11347.686847022558	14323.149389281602	11404.329571940652	11813.500540483532	8675.002584230997
11354.707869771506	14328.530222548854	11421.171640490007	11822.807022970654	8548.848189650125
11335.839787150171	14362.241596504855	11397.786873177589	11797.717235191629	8588.282690690203
11340.183465033757	14340.09232552765	11403.791186712757	11810.008263712623	8613.40832721121
11329.691635345589	14332.460140140465	11392.963107561149	11802.679137712506	8498.96939349911
