Cosine00	Cosine01	Cosine02	Cosine03	Cosine04	Cosine05	Cosine06	Cosine07	Cosine08	Cosine09	Cosine10	Cosine11	Cosine12	Cosine13	Cosine14	Cosine15	Cosine16	Cosine17	Cosine18	Cosine19	Cosine20	Cosine21	Cosine22	Cosine23	Cosine24	Cosine25	Cosine26	Cosine27	Cosine28	Cosine29
0.0316227668	0.0316227376	0.0316226888	0.0316226205	0.0316225328	0.0316224255	0.0316222987	0.0316221524	0.0316219866	0.0316218013	0.0316215965	0.0316213721	0.0316211283	0.0316208650	0.0316205821	0.0316202798	0.0316199580	0.0316196166	0.0316192557	0.0316188754	0.0316184755	0.0316180561	0.0316176173	0.0316171589	0.0316166810	0.0316161836	0.0316156667	0.0316151304	0.0316145745	0.0316139991
0.0316226888	0.0316224255	0.0316219866	0.0316213721	0.0316205821	0.0316196166	0.0316184755	0.0316171589	0.0316156667	0.0316139991	0.0316121559	0.0316101372	0.0316079431	0.0316055734	0.0316030283	0.0316003078	0.0315974118	0.0315943404	0.0315910936	0.0315876714	0.0315840738	0.0315803009	0.0315763527	0.0315722292	0.0315679304	0.0315634563	0.0315588070	0.0315539826	0.0315489829	0.0315438081
0.0316225328	0.0316218013	0.0316205821	0.0316188754	0.0316166810	0.0316139991	0.0316108296	0.0316071727	0.0316030283	0.0315983966	0.0315932776	0.0315876714	0.0315815780	0.0315749977	0.0315679304	0.0315603763	0.0315523355	0.0315438081	0.0315347943	0.0315252941	0.0315153078	0.0315048356	0.0314938774	0.0314824336	0.0314705043	0.0314580897	0.0314451899	0.0314318052	0.0314179359	0.0314035820
0.0316222987	0.0316208650	0.0316184755	0.0316151304	0.0316108296	0.0316055734	0.0315993619	0.0315921953	0.0315840738	0.0315749977	0.0315649671	0.0315539826	0.0315420442	0.0315291525	0.0315153078	0.0315005106	0.0314847612	0.0314680602	0.0314504080	0.0314318052	0.0314122524	0.0313917502	0.0313702991	0.0313478998	0.0313245530	0.0313002594	0.0312750197	0.0312488347	0.0312217052	0.0311936320
0.0316219866	0.0316196166	0.0316156667	0.0316101372	0.0316030283	0.0315943404	0.0315840738	0.0315722292	0.0315588070	0.0315438081	0.0315272331	0.0315090828	0.0314893582	0.0314680602	0.0314451899	0.0314207485	0.0313947372	0.0313671572	0.0313380100	0.0313072970	0.0312750197	0.0312411798	0.0312057789	0.0311688188	0.0311303014	0.0310902286	0.0310486024	0.0310054248	0.0309606981	0.0309144244
0.0316215965	0.0316180561	0.0316121559	0.0316038962	0.0315932776	0.0315803009	0.0315649671	0.0315472774	0.0315272331	0.0315048356	0.0314800866	0.0314529880	0.0314235418	0.0313917502	0.0313576155	0.0313211404	0.0312823275	0.0312411798	0.0311977002	0.0311518921	0.0311037589	0.0310533042	0.0310005317	0.0309454453	0.0308880493	0.0308283478	0.0307663453	0.0307020464	0.0306354561	0.0305665791
0.0316211283	0.0316161836	0.0316079431	0.0315964075	0.0315815780	0.0315634563	0.0315420442	0.0315173440	0.0314893582	0.0314580897	0.0314235418	0.0313857181	0.0313446225	0.0313002594	0.0312526333	0.0312017492	0.0311476124	0.0310902286	0.0310296038	0.0309657442	0.0308986565	0.0308283478	0.0307548252	0.0306780966	0.0305981699	0.0305150535	0.0304287559	0.0303392863	0.0302466538	0.0301508683
0.0316205821	0.0316139991	0.0316030283	0.0315876714	0.0315679304	0.0315438081	0.0315153078	0.0314824336	0.0314451899	0.0314035820	0.0313576155	0.0313072970	0.0312526333	0.0311936320	0.0311303014	0.0310626503	0.0309906880	0.0309144244	0.0308338703	0.0307490368	0.0306599356	0.0305665791	0.0304689803	0.0303671527	0.0302611105	0.0301508683	0.0300364415	0.0299178459	0.0297950981	0.0296682150
0.0316199580	0.0316115025	0.0315974118	0.0315776882	0.0315523355	0.0315213579	0.0314847612	0.0314425518	0.0313947372	0.0313413259	0.0312823275	0.0312177525	0.0311476124	0.0310719197	0.0309906880	0.0309039316	0.0308116660	0.0307139077	0.0306106742	0.0305019838	0.0303878558	0.0302683108	0.0301433699	0.0300130554	0.0298773905	0.0297363996	0.0295901076	0.0294385406	0.0292817257	0.0291196909
0.0316192557	0.0316086939	0.0315910936	0.0315664585	0.0315347943	0.0314961079	0.0314504080	0.0313977048	0.0313380100	0.0312713368	0.0311977002	0.0311171166	0.0310296038	0.0309351813	0.0308338703	0.0307256932	0.0306106742	0.0304888388	0.0303602142	0.0302248290	0.0300827134	0.0299338990	0.0297784189	0.0296163078	0.0294476019	0.0292723385	0.0290905568	0.0289022973	0.0287076018	0.0285065138
