t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05
0.0372657390	-0.0332160986	0.0322856672	-0.0327597964	-0.0317291644	-0.0189059983
0.0449504019	-0.0233740448	0.0183907465	-0.0113058007	-0.0302308411	-0.0307124633
0.0515174328	-0.0268218833	0.0320326138	-0.0017103151	-0.0237639190	-0.0255887743
0.0585624451	-0.0388630812	0.0334909701	0.0079960362	-0.0057859172	-0.0263203056
0.0657222810	-0.0155802808	0.0271988547	0.0130304364	0.0267809301	-0.0405146566
0.0560313521	-0.0137956633	0.0013103250	-0.0150269643	0.0324937651	-0.0516155904
0.0391537134	-0.0076925743	0.0013923074	-0.0369389342	0.0172223277	-0.0489490956
0.0301123562	-0.0142594609	0.0094675060	-0.0299512503	-0.0232140471	-0.0509714761
0.0249504304	-0.0062596001	0.0152869277	0.0061497185	-0.0222132175	-0.0489195144
0.0220528596	-0.0089532554	0.0153396828	0.0306286888	0.0067801177	-0.0448011195
0.0187539868	-0.0067948784	0.0134481747	0.0036701588	0.0380893141	-0.0304654126
0.0151117550	-0.0145968021	-0.0045705071	-0.0337206996	0.0261624353	-0.0158858721
0.0179554872	-0.0081364554	-0.0098082096	-0.0200258878	-0.0217116055	-0.0205311877
0.0159927443	-0.0016164144	0.0091656430	0.0164418879	-0.0205193212	-0.0149388953
0.0081214654	-0.0023475413	0.0158450142	0.0351522680	0.0083138615	-0.0123835870
0.0010028427	-0.0073640466	0.0154558366	-0.0056212981	0.0328885423	-0.0001921148
0.0004018122	0.0002188066	-0.0042011345	-0.0355482575	0.0199864180	0.0031016739
0.0020353182	0.0035094211	-0.0044249549	-0.0158251949	-0.0241223303	-0.0035797578
-0.0029953382	0.0028753465	0.0054240072	0.0092434129	-0.0274270666	0.0033789646
-0.0049845663	-0.0010741917	0.0211528231	0.0331484221	-0.0008041892	0.0047612481
-0.0061045243	-0.0085560715	0.0125309626	-0.0099137964	0.0312532526	0.0147773843
-0.0001673549	0.0091147429	-0.0160729645	-0.0261539272	0.0034461907	0.0089402900
-0.0024113859	0.0029717471	-0.0065775872	-0.0024983637	-0.0260208775	0.0131007641
-0.0076135981	0.0064403495	0.0010361592	0.0298587038	-0.0169345579	0.0183733196
-0.0082281864	-0.0017541606	0.0199448609	0.0110599401	0.0243981160	0.0294384078
-0.0049600826	0.0078838876	-0.0046274201	-0.0284412305	0.0257751188	0.0323532548
-0.0022504905	0.0100111009	-0.0147042628	-0.0151870345	-0.0215920233	0.0252082523
-0.0078628859	0.0066308899	-0.0028451289	0.0198422774	-0.0267340095	0.0279440710
-0.0128429432	-0.0028971782	0.0132304443	0.0256448079	0.0136631257	0.0373638114
-0.0107153743	0.0033088127	-0.0138824408	-0.0106925339	0.0314218975	0.0328764478
-0.0089657225	0.0120821934	-0.0269399543	-0.0159241741	-0.0091097030	0.0262256532
-0.0151402001	0.0115683124	-0.0136482946	0.0187818982	-0.0322720751	0.0231623293
-0.0220360633	0.0009796009	0.0097649874	0.0272188126	-0.0003948780	0.0340031745
-0.0214551016	-0.0006743425	-0.0051816175	-0.0027422072	0.0313439427	0.0311543065
-0.0203297105	0.0060973846	-0.0154965644	-0.0297854394	0.0033489617	0.0289499678
-0.0241336524	-0.0020139130	-0.0198876908	0.0165841104	-0.0287415010	0.0201890224
-0.0288231451	-0.0213741971	-0.0109320805	0.0227241053	0.0084818435	0.0275791908
-0.0222561371	-0.0111586177	-0.0036269323	-0.0181959276	0.0176194243	0.0287324091
-0.0248982702	0.0100952059	-0.0245512747	0.0089283695	-0.0345351887	0.0142818875
-0.0331570806	-0.0003217326	-0.0070600986	0.0372678207	0.0002480333	0.0145860929
-0.0352362436	0.0144485556	-0.0199828830	-0.0014179528	0.0243929471	0.0080841398
-0.0336245727	0.0214668257	-0.0337205254	-0.0197007256	-0.0074668017	-0.0003506763
-0.0309032582	0.0220098922	-0.0206036365	0.0130383125	-0.0296370832	-0.0198843960
-0.0292018691	0.0162936409	-0.0007005747	0.0313221062	-0.0058349942	-0.0227486201
-0.0249966746	0.0268026417	-0.0167665978	0.0106244254	0.0336979270	-0.0245037395
-0.0222149754	0.0402786695	-0.0372603485	-0.0178994581	-0.0017388755	-0.0181545120
-0.0223704230	0.0340082448	-0.0165577697	0.0265274993	-0.0251177750	-0.0114895026
-0.0204875646	0.0293954359	-0.0150243588	0.0117588437	0.0088743238	0.0052087367
-0.0119996276	0.0361359819	-0.0356636575	-0.0042936359	0.0199100476	0.0087684091
-0.0061736789	0.0398609503	-0.0379386762	0.0085009584	-0.0318852632	0.0023559475
-0.0079028396	0.0352303434	-0.0100382840	0.0436960484	-0.0059169669	0.0106985509
-0.0070599300	0.0406184889	-0.0306715631	0.0084146527	0.0245595279	0.0122847896
-0.0042844785	0.0519277954	-0.0492341526	0.0015775995	-0.0196503397	0.0085515470
-0.0033215421	0.0507460968	-0.0244147161	0.0433174882	-0.0231489767	0.0120373893
-0.0033241376	0.0431575068	-0.0236243886	0.0223220018	0.0241257785	0.0177485475
0.0007716578	0.0504025451	-0.0320008147	-0.0067846856	-0.0137736227	0.0147459198
-0.0035554397	0.0416125760	-0.0081126992	0.0433045168	-0.0106156363	0.0108417393
-0.0175866667	0.0290006692	-0.0198820052	0.0228074462	0.0332822147	0.0090224802
-0.0251717931	0.0114398618	-0.0107689585	-0.0240306055	0.0066007793	0.0237541575
-0.0222410628	0.0017905743	0.0154195307	0.0164277086	-0.0143960659	0.0285159741
-0.0158121004	0.0205007222	-0.0194368913	0.0156246676	0.0351677123	0.0152262191
-0.0188274516	0.0285640821	-0.0269370172	-0.0269048927	-0.0035930453	0.0141673372
-0.0260384807	-0.0306352618	0.0020654382	0.0201266647	-0.0001373603	0.0162906222
-0.0242662567	-0.0232979254	-0.0534279274	0.0190082168	0.0119028654	0.0164173596
-0.0164914633	-0.0227227933	0.0027199267	0.0177822522	-0.0067126433	0.0106709484
-0.0269064481	-0.0109573973	-0.0114671446	0.0110925633	0.0350755554	0.0083652607
-0.0392593649	0.0009020556	-0.0105160880	-0.0313701230	0.0176668022	0.0148840850
-0.0377443227	-0.0290692928	-0.0063711092	-0.0010537966	-0.0302454852	0.0137298889
-0.0339543897	-0.0301110910	0.0212384918	-0.0038796998	0.0121846005	0.0269525012
-0.0281518375	-0.0071796417	0.0203266916	-0.0349264080	-0.0060118724	0.0253805432
-0.0317133263	-0.0185045841	0.0511700346	-0.0110281176	-0.0084317727	0.0277718964
-0.0222766717	-0.0118957572	0.0504883093	-0.0488415567	0.0210087546	0.0262967755
-0.0044967011	-0.0100969688	0.0365608565	-0.0252270282	-0.0366822366	0.0012503751
0.0137532415	-0.0296666314	0.0536311347	-0.0051163965	0.0087572675	-0.0042070058
0.0288730610	-0.0305905306	0.0415453581	-0.0461707064	0.0120963719	0.0050197509
0.0394943156	-0.0186633341	0.0421540278	-0.0229605710	-0.0285876998	-0.0018781970
0.0423471989	-0.0127322980	0.0437302862	0.0094732074	0.0051133424	-0.0101375830
0.0351115568	-0.0187034261	0.0295242675	-0.0278999614	0.0264061205	-0.0098081455
0.0269598086	-0.0322077950	0.0346239638	-0.0161137969	-0.0240657855	-0.0114333896
0.0309345901	-0.0193127392	0.0406332489	-0.0061307284	0.0212956636	-0.0121112020
0.0289163832	-0.0185314667	0.0122454072	-0.0327051722	0.0171712992	-0.0141744680
0.0253693463	-0.0215197859	0.0452896850	-0.0117818592	-0.0139454390	-0.0119388756
0.0236598033	-0.0198612055	0.0465102618	-0.0171453212	0.0233274395	-0.0089498495
0.0207704006	-0.0091336899	0.0096840927	-0.0341851186	-0.0153797097	-0.0176655095
0.0052129840	-0.0266443890	0.0387839207	0.0076656540	-0.0087047753	-0.0048741961
0.0001065122	-0.0141365245	0.0447198253	-0.0359836501	0.0232066628	-0.0053157504
-0.0056794737	-0.0083611679	0.0313625802	-0.0073618652	-0.0341821157	-0.0141284287
-0.0173635086	-0.0211253795	0.0398583999	-0.0025749221	0.0178627059	-0.0070720290
-0.0171131852	-0.0240063419	-0.0020861850	-0.0323218145	-0.0004301650	-0.0183725727
-0.0192907286	-0.0228746955	0.0105735643	0.0221830180	-0.0223872203	-0.0209354014
-0.0205848054	-0.0173133225	-0.0079223892	0.0158518810	0.0296059926	-0.0207710130
-0.0209680106	-0.0444734115	-0.0081341136	-0.0168722831	-0.0166619334	-0.0106523963
-0.0132188678	-0.0312658207	0.0076254916	0.0195895731	0.0063602412	-0.0147182344
-0.0170112725	-0.0158600957	-0.0273785212	-0.0178365689	0.0358858874	-0.0210430331
-0.0281073143	-0.0304769297	-0.0125596978	-0.0046922393	-0.0312484882	-0.0187409719
-0.0298444832	-0.0498481705	0.0114069184	0.0070856976	0.0186662435	-0.0160350934
-0.0267218621	-0.0376742594	-0.0097729706	-0.0326979003	0.0098009920	-0.0196594143
-0.0267528786	-0.0606741570	0.0146493939	0.0034388125	-0.0215620167	-0.0246020126
-0.0276987951	-0.0761928762	0.0292714058	-0.0114187807	0.0069796553	-0.0113106311
-0.0157286221	-0.0636995779	0.0214440016	-0.0454102948	0.0270053822	-0.0206425910
-0.0039601629	-0.0458170663	0.0259138190	-0.0262074375	-0.0380938436	-0.0340386468
