component	mask	singular_value	variance_explained	cumulative_variance_explained	retained
edge_comp_00	Edge	1562.9762678848	0.0756926873	0.0756926873	True
edge_comp_01	Edge	1278.7025773717	0.0506626891	0.1263553764	True
edge_comp_02	Edge	1158.9280603212	0.0416161704	0.1679715468	True
edge_comp_03	Edge	1070.5203012153	0.0355090433	0.2034805901	True
edge_comp_04	Edge	891.0151728000	0.0245991078	0.2280796979	True
edge_comp_05	Edge	859.7847614965	0.0229049128	0.2509846107	True
edge_comp_06	Edge	842.8364890570	0.0220107994	0.2729954101	True
edge_comp_07	Edge	770.6614994026	0.0184024854	0.2913978955	True
edge_comp_08	Edge	724.1662681818	0.0162489664	0.3076468619	True
edge_comp_09	Edge	597.6652185783	0.0110678973	0.3187147592	True
edge_comp_10	Edge	565.3363687604	0.0099029140	0.3286176732	True
edge_comp_11	Edge	559.6650537469	0.0097052234	0.3383228966	True
edge_comp_12	Edge	546.7675622633	0.0092630635	0.3475859601	True
edge_comp_13	Edge	521.2075535965	0.0084172564	0.3560032165	True
edge_comp_14	Edge	510.4209271275	0.0080724637	0.3640756802	True
edge_comp_15	Edge	470.9007425806	0.0068708095	0.3709464897	True
edge_comp_16	Edge	457.2558530805	0.0064783992	0.3774248888	True
edge_comp_17	Edge	447.4804449950	0.0062043641	0.3836292530	True
edge_comp_18	Edge	446.8108435519	0.0061858098	0.3898150628	True
edge_comp_19	Edge	431.6494282604	0.0057731321	0.3955881949	True
edge_comp_20	Edge	424.8912024328	0.0055937704	0.4011819653	True
edge_comp_21	Edge	395.5835777866	0.0048487039	0.4060306692	True
edge_comp_22	Edge	384.2962359152	0.0045759516	0.4106066208	True
edge_comp_23	Edge	365.5100535362	0.0041394993	0.4147461201	True
dropped0	Edge	358.4149281534	0.0039803507	0.4187264707	False
dropped1	Edge	352.8516347340	0.0038577442	0.4225842149	False
dropped2	Edge	345.7185843442	0.0037033487	0.4262875636	False
dropped3	Edge	343.5461321102	0.0036569522	0.4299445158	False
dropped4	Edge	337.3876079214	0.0035270158	0.4334715317	False
dropped5	Edge	335.2023858717	0.0034814756	0.4369530073	False
dropped6	Edge	325.7824004247	0.0032885496	0.4402415569	False
dropped7	Edge	324.0457227328	0.0032535819	0.4434951388	False
dropped8	Edge	320.9926581550	0.0031925621	0.4466877009	False
dropped9	Edge	311.4283880080	0.0030051458	0.4496928467	False
dropped10	Edge	309.3706537454	0.0029655646	0.4526584113	False
dropped11	Edge	305.0360593858	0.0028830457	0.4555414570	False
dropped12	Edge	301.9282828849	0.0028245987	0.4583660556	False
dropped13	Edge	296.8755409350	0.0027308509	0.4610969066	False
dropped14	Edge	295.5124222521	0.0027058308	0.4638027374	False
dropped15	Edge	290.3393176143	0.0026119259	0.4664146633	False
dropped16	Edge	286.8169948319	0.0025489359	0.4689635993	False
dropped17	Edge	283.9823829621	0.0024988026	0.4714624019	False
dropped18	Edge	280.4330070620	0.0024367300	0.4738991319	False
dropped19	Edge	279.0006414549	0.0024119015	0.4763110334	False
dropped20	Edge	275.8917406309	0.0023584494	0.4786694827	False
dropped21	Edge	269.3643435657	0.0022481711	0.4809176539	False
dropped22	Edge	266.9875355444	0.0022086715	0.4831263254	False
dropped23	Edge	262.6585922549	0.0021376292	0.4852639546	False
dropped24	Edge	260.2058086917	0.0020978920	0.4873618467	False
dropped25	Edge	259.7499622648	0.0020905480	0.4894523947	False
dropped26	Edge	254.8669868928	0.0020126874	0.4914650820	False
dropped27	Edge	253.7736291667	0.0019954559	0.4934605380	False
dropped28	Edge	249.5398237845	0.0019294294	0.4953899673	False
dropped29	Edge	249.1887175546	0.0019240037	0.4973139710	False
dropped30	Edge	245.9927440737	0.0018749675	0.4991889386	False
dropped31	Edge	243.5091143080	0.0018372980	0.5010262366	False
dropped32	Edge	239.3642236509	0.0017752832	0.5028015197	False
dropped33	Edge	236.7265189279	0.0017363728	0.5045378925	False
dropped34	Edge	236.1132694063	0.0017273882	0.5062652807	False
dropped35	Edge	233.1394983544	0.0016841504	0.5079494311	False
dropped36	Edge	231.7378241828	0.0016639605	0.5096133916	False
dropped37	Edge	228.6911310438	0.0016204954	0.5112338870	False
dropped38	Edge	225.7129439581	0.0015785636	0.5128124506	False
dropped39	Edge	225.2953412152	0.0015727279	0.5143851785	False
dropped40	Edge	221.0356326553	0.0015138183	0.5158989967	False
dropped41	Edge	218.0944454790	0.0014737994	0.5173727961	False
dropped42	Edge	216.0524991406	0.0014463312	0.5188191273	False
dropped43	Edge	215.3652297485	0.0014371442	0.5202562714	False
dropped44	Edge	212.2590014739	0.0013959871	0.5216522585	False
dropped45	Edge	210.0069201667	0.0013665212	0.5230187797	False
dropped46	Edge	208.3155194617	0.0013445978	0.5243633775	False
dropped47	Edge	208.0202073316	0.0013407883	0.5257041658	False
dropped48	Edge	206.4250999458	0.0013203047	0.5270244705	False
dropped49	Edge	204.4304148557	0.0012949118	0.5283193822	False
dropped50	Edge	201.9219409884	0.0012633282	0.5295827104	False
dropped51	Edge	201.7195879535	0.0012607974	0.5308435078	False
dropped52	Edge	200.6040902986	0.0012468917	0.5320903995	False
dropped53	Edge	198.7816263871	0.0012243389	0.5333147383	False
dropped54	Edge	197.1333703824	0.0012041191	0.5345188574	False
dropped55	Edge	196.1214033409	0.0011917884	0.5357106458	False
dropped56	Edge	194.4284388292	0.0011713016	0.5368819474	False
dropped57	Edge	193.5895265957	0.0011612156	0.5380431630	False
dropped58	Edge	192.0145918734	0.0011423985	0.5391855615	False
dropped59	Edge	191.9617636311	0.0011417700	0.5403273315	False
dropped60	Edge	190.2381962240	0.0011213588	0.5414486903	False
dropped61	Edge	187.0515790056	0.0010841064	0.5425327967	False
dropped62	Edge	184.7828605202	0.0010579680	0.5435907647	False
dropped63	Edge	184.2406062663	0.0010517678	0.5446425325	False
dropped64	Edge	182.5324794700	0.0010323559	0.5456748884	False
dropped65	Edge	182.3785481102	0.0010306155	0.5467055039	False
dropped66	Edge	181.5264855845	0.0010210080	0.5477265120	False
dropped67	Edge	180.7048621683	0.0010117864	0.5487382983	False
dropped68	Edge	179.2169535233	0.0009951931	0.5497334914	False
dropped69	Edge	176.8952742977	0.0009695755	0.5507030669	False
dropped70	Edge	176.7188934876	0.0009676429	0.5516707098	False
dropped71	Edge	176.1689668675	0.0009616299	0.5526323397	False
dropped72	Edge	174.6043401008	0.0009446245	0.5535769643	False
dropped73	Edge	172.9495399481	0.0009268042	0.5545037684	False
dropped74	Edge	171.9195996555	0.0009157985	0.5554195670	False
dropped75	Edge	170.9133212076	0.0009051092	0.5563246762	False
dropped76	Edge	170.5016100211	0.0009007538	0.5572254300	False
dropped77	Edge	170.0971591263	0.0008964855	0.5581219155	False
dropped78	Edge	169.6224155124	0.0008914883	0.5590134038	False
dropped79	Edge	168.9325192902	0.0008842512	0.5598976550	False
dropped80	Edge	168.3778040330	0.0008784536	0.5607761087	False
dropped81	Edge	167.4657181973	0.0008689624	0.5616450711	False
dropped82	Edge	166.2626164935	0.0008565217	0.5625015928	False
dropped83	Edge	164.6916425532	0.0008404121	0.5633420049	False
dropped84	Edge	164.4956267753	0.0008384127	0.5641804176	False
dropped85	Edge	163.7600637729	0.0008309314	0.5650113490	False
dropped86	Edge	162.8510215562	0.0008217319	0.5658330808	False
dropped87	Edge	162.1878445352	0.0008150528	0.5666481337	False
dropped88	Edge	161.9278464536	0.0008124418	0.5674605754	False
dropped89	Edge	161.2523876853	0.0008056779	0.5682662534	False
dropped90	Edge	160.2093826182	0.0007952891	0.5690615425	False
dropped91	Edge	159.9528387724	0.0007927442	0.5698542867	False
dropped92	Edge	159.1644743195	0.0007849490	0.5706392357	False
dropped93	Edge	158.7444177104	0.0007808113	0.5714200469	False
dropped94	Edge	157.5133125732	0.0007687474	0.5721887944	False
dropped95	Edge	157.0068956873	0.0007638122	0.5729526066	False
dropped96	Edge	156.3112489409	0.0007570588	0.5737096654	False
dropped97	Edge	155.3869220243	0.0007481317	0.5744577972	False
dropped98	Edge	154.4092356597	0.0007387470	0.5751965441	False
dropped99	Edge	154.2907304597	0.0007376134	0.5759341576	False
dropped100	Edge	153.8859325728	0.0007337481	0.5766679057	False
dropped101	Edge	153.1088685840	0.0007263565	0.5773942622	False
dropped102	Edge	152.7678554418	0.0007231246	0.5781173868	False
dropped103	Edge	151.8408027861	0.0007143748	0.5788317616	False
dropped104	Edge	151.6626229816	0.0007126992	0.5795444609	False
dropped105	Edge	151.2082569343	0.0007084353	0.5802528961	False
dropped106	Edge	150.7859276906	0.0007044834	0.5809573796	False
dropped107	Edge	150.2200041546	0.0006992053	0.5816565848	False
dropped108	Edge	149.5722343238	0.0006931881	0.5823497730	False
dropped109	Edge	148.7631953476	0.0006857095	0.5830354824	False
dropped110	Edge	148.0219257397	0.0006788929	0.5837143753	False
dropped111	Edge	147.9044859260	0.0006778161	0.5843921914	False
dropped112	Edge	147.2539830555	0.0006718669	0.5850640583	False
dropped113	Edge	147.1790423430	0.0006711832	0.5857352415	False
dropped114	Edge	146.5894604980	0.0006658166	0.5864010582	False
dropped115	Edge	146.4062870461	0.0006641537	0.5870652119	False
dropped116	Edge	145.5791611535	0.0006566706	0.5877218825	False
dropped117	Edge	144.9890310114	0.0006513575	0.5883732401	False
dropped118	Edge	144.8825634656	0.0006504013	0.5890236414	False
dropped119	Edge	144.2320314855	0.0006445737	0.5896682151	False
dropped120	Edge	144.0043539300	0.0006425403	0.5903107554	False
dropped121	Edge	143.6484352556	0.0006393681	0.5909501235	False
dropped122	Edge	143.1432881948	0.0006348793	0.5915850028	False
dropped123	Edge	142.5793605084	0.0006298868	0.5922148895	False
dropped124	Edge	142.2382217696	0.0006268762	0.5928417657	False
dropped125	Edge	141.8618473989	0.0006235631	0.5934653288	False
dropped126	Edge	141.3111596004	0.0006187313	0.5940840601	False
dropped127	Edge	141.0946308530	0.0006168366	0.5947008967	False
dropped128	Edge	140.9015298612	0.0006151494	0.5953160460	False
dropped129	Edge	140.6515596346	0.0006129686	0.5959290147	False
dropped130	Edge	140.1080843187	0.0006082408	0.5965372555	False
dropped131	Edge	139.7057747689	0.0006047528	0.5971420083	False
dropped132	Edge	139.5762954050	0.0006036323	0.5977456406	False
dropped133	Edge	139.2388135427	0.0006007168	0.5983463574	False
dropped134	Edge	139.0380632433	0.0005989859	0.5989453433	False
dropped135	Edge	138.2421677773	0.0005921479	0.5995374912	False
dropped136	Edge	137.7531380777	0.0005879659	0.6001254571	False
dropped137	Edge	137.3749668186	0.0005847421	0.6007101992	False
dropped138	Edge	137.2290390542	0.0005835005	0.6012936997	False
dropped139	Edge	136.8702136877	0.0005804530	0.6018741527	False
dropped140	Edge	136.6700727967	0.0005787567	0.6024529093	False
dropped141	Edge	136.3147971966	0.0005757516	0.6030286609	False
dropped142	Edge	135.7488556513	0.0005709808	0.6035996418	False
dropped143	Edge	135.4559904878	0.0005685198	0.6041681615	False
dropped144	Edge	135.1767912806	0.0005661786	0.6047343401	False
dropped145	Edge	134.9969378287	0.0005646730	0.6052990131	False
dropped146	Edge	134.5007748516	0.0005605298	0.6058595429	False
dropped147	Edge	134.0975489204	0.0005571740	0.6064167169	False
