component	mask	singular_value	variance_explained	cumulative_variance_explained	retained
t_comp_cor_00	0	500.7215152008	0.1079378053	0.1079378053	True
t_comp_cor_01	0	421.3537091768	0.0764319114	0.1843697167	True
t_comp_cor_02	0	377.0917395118	0.0612174332	0.2455871499	True
t_comp_cor_03	0	363.13975448	0.0567712778	0.3023584276	True
t_comp_cor_04	0	332.6890949354	0.0476494848	0.3500079124	True
t_comp_cor_05	0	304.4116162897	0.0398936267	0.3899015391	True
t_comp_cor_06	0	269.6512028587	0.0313029885	0.4212045276	True
t_comp_cor_07	0	266.7978446829	0.0306440182	0.4518485458	True
t_comp_cor_08	0	255.9402589645	0.0282005961	0.4800491419	True
t_comp_cor_09	0	242.5761056344	0.0253324455	0.5053815874	True
