component	mask	singular_value	variance_explained	cumulative_variance_explained	retained
t_comp_cor_00	0	500.7215152008	0.1079378053	0.1079378053	True
t_comp_cor_01	0	421.3537091768	0.0764319114	0.1843697167	True
t_comp_cor_02	0	377.0917395118	0.0612174332	0.2455871499	True
t_comp_cor_03	0	363.1397544800	0.0567712778	0.3023584276	True
t_comp_cor_04	0	332.6890949354	0.0476494848	0.3500079124	True
t_comp_cor_05	0	304.4116162897	0.0398936267	0.3899015391	True
t_comp_cor_06	0	269.6512028587	0.0313029885	0.4212045276	True
t_comp_cor_07	0	266.7978446829	0.0306440182	0.4518485458	True
t_comp_cor_08	0	255.9402589645	0.0282005961	0.4800491419	True
t_comp_cor_09	0	242.5761056344	0.0253324455	0.5053815874	True
dropped0	0	223.7445244210	0.0215519172	0.5269335046	False
dropped1	0	208.4553633954	0.0187071326	0.5456406372	False
dropped2	0	197.9569691301	0.0168702947	0.5625109319	False
dropped3	0	194.1882152818	0.0162340477	0.5787449796	False
dropped4	0	169.9098642147	0.0124284870	0.5911734666	False
dropped5	0	164.2266552667	0.0116109665	0.6027844332	False
dropped6	0	161.9073482286	0.0112853283	0.6140697615	False
dropped7	0	156.0444280478	0.0104828075	0.6245525690	False
dropped8	0	154.2124870022	0.0102381187	0.6347906876	False
dropped9	0	151.0097860099	0.0098172819	0.6446079696	False
dropped10	0	148.3227699485	0.0094710195	0.6540789891	False
dropped11	0	135.0043854673	0.0078465154	0.6619255045	False
dropped12	0	124.8623743788	0.0067118811	0.6686373856	False
dropped13	0	122.6784832785	0.0064791476	0.6751165332	False
dropped14	0	121.2507482413	0.0063292162	0.6814457494	False
dropped15	0	111.7900787570	0.0053800660	0.6868258154	False
dropped16	0	111.1508036935	0.0053187098	0.6921445252	False
dropped17	0	107.2551922035	0.0049524230	0.6970969481	False
dropped18	0	105.2512495192	0.0047690909	0.7018660390	False
dropped19	0	102.3565006903	0.0045103676	0.7063764066	False
dropped20	0	102.1996391869	0.0044965539	0.7108729605	False
dropped21	0	98.6739487590	0.0041916604	0.7150646210	False
