Cosine00	Cosine01	Cosine02	Cosine03	Cosine04	Cosine05	Cosine06	Cosine07	Cosine08	Cosine09	Cosine10	Cosine11	Cosine12	Cosine13	Cosine14	Cosine15	Cosine16	Cosine17	Cosine18	Cosine19	Cosine20	Cosine21	Cosine22	Cosine23	Cosine24	Cosine25	Cosine26	Cosine27	Cosine28	Cosine29	NonSteadyStateOutlier00
0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	1.0000000000
0.0316306755	0.0316306462	0.0316305974	0.0316305290	0.0316304411	0.0316303337	0.0316302068	0.0316300603	0.0316298943	0.0316297087	0.0316295036	0.0316292790	0.0316290349	0.0316287713	0.0316284881	0.0316281853	0.0316278631	0.0316275213	0.0316271600	0.0316267792	0.0316263788	0.0316259589	0.0316255195	0.0316250605	0.0316245820	0.0316240840	0.0316235665	0.0316230294	0.0316224729	0.0316218968	0.0000000000
0.0316305974	0.0316303337	0.0316298943	0.0316292790	0.0316284881	0.0316275213	0.0316263788	0.0316250605	0.0316235665	0.0316218968	0.0316200513	0.0316180301	0.0316158332	0.0316134606	0.0316109123	0.0316081883	0.0316052887	0.0316022134	0.0315989626	0.0315955361	0.0315919341	0.0315881564	0.0315842033	0.0315800746	0.0315757704	0.0315712908	0.0315666357	0.0315618052	0.0315567993	0.0315516180	0.0000000000
0.0316304411	0.0316297087	0.0316284881	0.0316267792	0.0316245820	0.0316218968	0.0316187233	0.0316150618	0.0316109123	0.0316062747	0.0316011493	0.0315955361	0.0315894352	0.0315828466	0.0315757704	0.0315682069	0.0315601560	0.0315516180	0.0315425929	0.0315330809	0.0315230821	0.0315125967	0.0315016249	0.0314901668	0.0314782226	0.0314657924	0.0314528766	0.0314394752	0.0314255885	0.0314112166	0.0000000000
0.0316302068	0.0316287713	0.0316263788	0.0316230294	0.0316187233	0.0316134606	0.0316072413	0.0316000657	0.0315919341	0.0315828466	0.0315728035	0.0315618052	0.0315498519	0.0315369441	0.0315230821	0.0315082664	0.0314924973	0.0314757754	0.0314581012	0.0314394752	0.0314198979	0.0313993701	0.0313778922	0.0313554649	0.0313320890	0.0313077651	0.0312824939	0.0312562763	0.0312291130	0.0312010048	0.0000000000
0.0316298943	0.0316275213	0.0316235665	0.0316180301	0.0316109123	0.0316022134	0.0315919341	0.0315800746	0.0315666357	0.0315516180	0.0315350222	0.0315168493	0.0314971000	0.0314757754	0.0314528766	0.0314284046	0.0314023608	0.0313747464	0.0313455628	0.0313148115	0.0312824939	0.0312486118	0.0312131668	0.0311761606	0.0311375953	0.0310974725	0.0310557945	0.0310125632	0.0309677808	0.0309214495	0.0000000000
0.0316295036	0.0316259589	0.0316200513	0.0316117812	0.0316011493	0.0315881564	0.0315728035	0.0315550917	0.0315350222	0.0315125967	0.0314878168	0.0314606844	0.0314312014	0.0313993701	0.0313651928	0.0313286722	0.0312898109	0.0312486118	0.0312050780	0.0311592129	0.0311110197	0.0310605021	0.0310076639	0.0309525090	0.0308950416	0.0308352659	0.0307731864	0.0307088077	0.0306421347	0.0305731723	0.0000000000
0.0316290349	0.0316240840	0.0316158332	0.0316042831	0.0315894352	0.0315712908	0.0315498519	0.0315251208	0.0314971000	0.0314657924	0.0314312014	0.0313933304	0.0313521836	0.0313077651	0.0312600796	0.0312091320	0.0311549278	0.0310974725	0.0310367722	0.0309728331	0.0309056620	0.0308352659	0.0307616520	0.0306848282	0.0306048023	0.0305215828	0.0304351783	0.0303455979	0.0302528509	0.0301569470	0.0000000000
0.0316284881	0.0316218968	0.0316109123	0.0315955361	0.0315757704	0.0315516180	0.0315230821	0.0314901668	0.0314528766	0.0314112166	0.0313651928	0.0313148115	0.0312600796	0.0312010048	0.0311375953	0.0310698598	0.0309978079	0.0309214495	0.0308407953	0.0307558563	0.0306666446	0.0305731723	0.0304754525	0.0303734988	0.0302673254	0.0301569470	0.0300423789	0.0299236371	0.0298007380	0.0296736988	0.0000000000
0.0316278631	0.0316193971	0.0316052887	0.0315855405	0.0315601560	0.0315291398	0.0314924973	0.0314502351	0.0314023608	0.0313488829	0.0312898109	0.0312251553	0.0311549278	0.0310791408	0.0309978079	0.0309109436	0.0308185634	0.0307206837	0.0306173221	0.0305084969	0.0303942276	0.0302745346	0.0301494393	0.0300189639	0.0298831318	0.0297419672	0.0295954953	0.0294437421	0.0292867349	0.0291245016	0.0000000000
0.0316271600	0.0316165850	0.0315989626	0.0315742967	0.0315425929	0.0315038582	0.0314581012	0.0314053321	0.0313455628	0.0312788065	0.0312050780	0.0311243940	0.0310367722	0.0309422323	0.0308407953	0.0307324838	0.0306173221	0.0304953356	0.0303665517	0.0302309991	0.0300887079	0.0299397099	0.0297840383	0.0296217278	0.0294528145	0.0292773362	0.0290953318	0.0289068421	0.0287119091	0.0285105760	0.0000000000
0.0316263788	0.0316134606	0.0315919341	0.0315618052	0.0315230821	0.0314757754	0.0314198979	0.0313554649	0.0312824939	0.0312010048	0.0311110197	0.0310125632	0.0309056620	0.0307903453	0.0306666446	0.0305345933	0.0303942276	0.0302455857	0.0300887079	0.0299236371	0.0297504182	0.0295690983	0.0293797268	0.0291823554	0.0289770376	0.0287638295	0.0285427891	0.0283139766	0.0280774543	0.0278332865	0.0000000000
0.0316255195	0.0316100238	0.0315842033	0.0315480664	0.0315016249	0.0314448940	0.0313778922	0.0313006414	0.0312131668	0.0311154970	0.0310076639	0.0308897027	0.0307616520	0.0306235536	0.0304754525	0.0303173972	0.0301494393	0.0299716336	0.0297840383	0.0295867145	0.0293797268	0.0291631428	0.0289370331	0.0287014717	0.0284565355	0.0282023046	0.0279388618	0.0276662933	0.0273846882	0.0270941383	0.0000000000
0.0316245820	0.0316062747	0.0315757704	0.0315330809	0.0314782226	0.0314112166	0.0313320890	0.0312408701	0.0311375953	0.0310223042	0.0308950416	0.0307558563	0.0306048023	0.0304419377	0.0302673254	0.0300810328	0.0298831318	0.0296736988	0.0294528145	0.0292205642	0.0289770376	0.0287223286	0.0284565355	0.0281797610	0.0278921117	0.0275936987	0.0272846371	0.0269650463	0.0266350495	0.0262947742	0.0000000000
0.0316235665	0.0316022134	0.0315666357	0.0315168493	0.0314528766	0.0313747464	0.0312824939	0.0311761606	0.0310557945	0.0309214495	0.0307731864	0.0306110716	0.0304351783	0.0302455857	0.0300423789	0.0298256496	0.0295954953	0.0293520195	0.0290953318	0.0288255479	0.0285427891	0.0282471827	0.0279388618	0.0276179651	0.0272846371	0.0269390278	0.0265812928	0.0262115932	0.0258300952	0.0254369707	0.0000000000
0.0316224729	0.0315978399	0.0315567993	0.0314993722	0.0314255885	0.0313354865	0.0312291130	0.0311065232	0.0309677808	0.0308129578	0.0306421347	0.0304554000	0.0302528509	0.0300345925	0.0298007380	0.0295514090	0.0292867349	0.0290068531	0.0287119091	0.0284020558	0.0280774543	0.0277382730	0.0273846882	0.0270168834	0.0266350495	0.0262393850	0.0258300952	0.0254073926	0.0249714969	0.0245226342	0.0000000000
0.0316213011	0.0315931543	0.0315462614	0.0314806503	0.0313963599	0.0312934403	0.0311719526	0.0310319687	0.0308735718	0.0306968558	0.0305019257	0.0302888970	0.0300578962	0.0298090603	0.0295425370	0.0292584844	0.0289570711	0.0286384760	0.0283028880	0.0279505062	0.0275815399	0.0271962078	0.0267947387	0.0263773707	0.0259443516	0.0254959381	0.0250323965	0.0245540017	0.0240610377	0.0235537968	0.0000000000
0.0316200513	0.0315881564	0.0315350222	0.0314606844	0.0313651928	0.0312486118	0.0311110197	0.0309525090	0.0307731864	0.0305731723	0.0303526013	0.0301116217	0.0298503954	0.0295690983	0.0292679193	0.0289470611	0.0286067393	0.0282471827	0.0278686332	0.0274713453	0.0270555860	0.0266216350	0.0261697840	0.0257003369	0.0252136092	0.0247099283	0.0241896329	0.0236530727	0.0231006085	0.0225326119	0.0000000000
0.0316187233	0.0315828466	0.0315230821	0.0314394752	0.0313320890	0.0312010048	0.0310463217	0.0308681567	0.0306666446	0.0304419377	0.0301942061	0.0299236371	0.0296304354	0.0293148226	0.0289770376	0.0286173358	0.0282359893	0.0278332865	0.0274095320	0.0269650463	0.0265001656	0.0260152414	0.0255106407	0.0249867449	0.0244439504	0.0238826678	0.0233033215	0.0227063497	0.0220922040	0.0214613488	0.0000000000
