t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	t_comp_cor_07	t_comp_cor_08	t_comp_cor_09
0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
-0.0028683313	0.0023278384	0.0300133791	-0.0196790793	-0.0120393496	-0.0219641504	0.0254752026	-0.0029497545	0.0296212566	-0.0117435231
0.0034080785	-0.0156960691	-0.0112380405	-0.0032241514	0.0464321618	0.0138866468	-0.0103016724	-0.0076868823	0.0171840449	-0.0187364490
-0.0019724096	-0.0293471238	-0.0110424842	0.0087477962	-0.0295474512	-0.0425516375	-0.0261824496	-0.0021734653	0.0032747961	-0.0185828830
-0.0063069179	-0.0326443018	0.0139283899	-0.0344115328	-0.0120678886	-0.0052308411	0.0331155530	0.0285663524	-0.0111071340	-0.0217883561
0.0097722152	-0.0294294286	-0.0296537817	-0.0111772617	0.0317205743	0.0233378344	0.0055722877	0.0375184900	-0.0096047856	-0.0269633377
0.0082509583	-0.0147302676	-0.0104847311	0.0065703993	-0.0236344506	0.0102347825	-0.0446604730	0.0353143658	0.0115649508	-0.0267767047
-0.0063314389	-0.0027442832	0.0353968637	-0.0062067396	0.0031134250	-0.0264265259	-0.0034576335	0.0552253699	-0.0013707186	-0.0361828601
0.0044690086	0.0068502265	-0.0327430784	0.0077131736	0.0304089293	0.0223506890	0.0202773189	0.0535522909	0.0175802490	-0.0313568387
0.0071426647	0.0148107018	0.0006264782	0.0148010204	-0.0235100499	-0.0032530630	-0.0443646950	0.0250596822	0.0375697048	-0.0350674569
-0.0063697725	0.0228279025	0.0337367707	0.0048362241	-0.0052267549	-0.0144618654	0.0426050977	0.0335072231	0.0404291864	-0.0183165064
0.0009468700	0.0138936493	-0.0096774414	0.0035857232	0.0463343320	0.0195028606	-0.0129442811	0.0161663326	0.0186882370	-0.0276447837
0.0106596965	0.0100354474	-0.0174938938	0.0214754032	-0.0292034176	-0.0379741547	-0.0162245737	0.0123325356	0.0174143770	-0.0246334698
-0.0035778051	-0.0019570156	0.0290035127	0.0120762710	-0.0256645283	0.0224187519	0.0306868446	0.0274192258	0.0112256801	-0.0159904695
0.0088832833	-0.0077772881	0.0057713756	-0.0031895032	0.0390088303	0.0113126165	-0.0259311030	0.0176383285	-0.0083200320	-0.0130062586
0.0099284243	0.0006539088	-0.0156175541	0.0270483877	-0.0284938568	-0.0336439359	-0.0108196234	0.0191473139	-0.0110300674	-0.0086050432
-0.0015671438	0.0084160100	0.0294517730	0.0053180935	-0.0160657177	0.0115666531	0.0316642457	0.0251672751	-0.0068098201	-0.0000184442
0.0089775954	0.0143098831	-0.0063774636	-0.0005404352	0.0377905322	0.0248046573	-0.0143452378	0.0041351438	-0.0136933646	-0.0108334818
0.0078482584	0.0198519870	-0.0039340055	0.0249674606	-0.0262467614	-0.0331576792	-0.0300723859	-0.0107826910	-0.0054293678	-0.0004562336
-0.0041335927	0.0164029536	0.0333837178	0.0097180928	-0.0146450559	0.0003833034	0.0446578128	-0.0058618262	-0.0010699846	0.0081500174
0.0032981310	0.0114039740	-0.0121394546	0.0004681605	0.0383817511	0.0256108660	-0.0040298736	-0.0274946785	-0.0081500208	0.0103377759
0.0043866594	0.0138116689	-0.0092856748	0.0186700632	-0.0268263848	-0.0309040114	-0.0225377702	-0.0317013336	-0.0162213121	0.0096060812
-0.0081039184	0.0089522611	0.0325788011	0.0167818808	-0.0079363968	0.0004489817	0.0542159219	-0.0198164007	-0.0030605342	0.0232801218
-0.0032719952	0.0048766414	-0.0139253264	0.0098983882	0.0352619394	0.0268832024	0.0061041272	-0.0295986798	-0.0092661131	0.0193355391
